,dataset,model_type,num_layers,readout_type,acc,acc,acc_foreground,acc_foreground,iou,iou,iou_foreground,iou_foreground,loss,loss,loss_foreground,loss_foreground
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
15,new_tetronimoes,baseline1_flexible,2,linear,0.88932744140625,0.01185700287648052,0.23703453369140623,0.08328820082389794,0.24295482463836668,0.08637137745013063,0.14102779359817502,0.04957441978690334,0.26587104307413095,0.1334611281835222,1.7440019373893736,0.6176363269026325
16,new_tetronimoes,baseline1_flexible,4,linear,0.8996561279296875,0.02343303559466221,0.30937821464538573,0.16453370808833517,0.27275510435104366,0.14446604755434714,0.20249848384857178,0.10766421116,0.28033237342834466,0.19246220875059666,1.7566853756904603,0.9443107339991804
17,new_tetronimoes,baseline1_flexible,8,linear,0.9608914794921875,0.037023194322603356,0.7362520915985107,0.25880149007268105,0.6638005529403687,0.23351291475521618,0.6374038597106934,0.22421706348723888,0.11416389398574825,0.18680293544876173,0.6983664168357848,1.0038946003836648
18,new_tetronimoes,baseline1_flexible,16,linear,0.9130456054687499,0.07418412808635541,0.3983610282897949,0.5142874469439136,0.3980742744445801,0.5139195327710053,0.39719305992126464,0.5127903304736168,0.38857215607874096,0.3317428986797625,2.141911083796434,1.8254739845876828
19,new_tetronimoes,baseline1_flexible,32,linear,0.9024242431640624,0.06806556485537535,0.3251115294456482,0.4713770282749969,0.32507891998291016,0.47126821463688123,0.31598580527305603,0.47319409225530196,0.4075499312058615,0.3079594946931135,2.2626929587250575,1.667234636556179
20,new_tetronimoes,conv_recurrent2,16,fft,0.991392919921875,0.006221141544039046,0.9500654396057129,0.04202866663571219,0.933406526184082,0.05806219663047989,0.9135566989898681,0.06929167192938591,0.02577664752230044,0.015268617798819765,0.17755817562341686,0.10590592456216882
21,new_tetronimoes,conv_recurrent2,16,last,0.9391259765625,0.05914624718354109,0.5855063339233398,0.4143735433767855,0.5403323287963867,0.38729653028228966,0.5179008295059204,0.3765095846987109,0.23847733263373377,0.2819481695903482,1.3717179586291313,1.509694863406748
22,new_tetronimoes,conv_recurrent2,16,linear,0.9940474609375001,0.002965002731552836,0.9678263118743897,0.01842168926119101,0.960520777130127,0.02146253887328833,0.9431745021820068,0.03212761733290687,0.01868271404616529,0.0075678857156746375,0.1287135856211185,0.052331659969323444
23,new_tetronimoes,conv_recurrent2,16,max_time,0.9444326171874999,0.04245804827469335,0.6231289970397949,0.2969657829378734,0.5616244806289672,0.3001918384078785,0.5216040822982788,0.309663542098725,0.1578571279779076,0.18066159485294087,0.9897135563731194,0.9469649400884299
24,new_tetronimoes,conv_recurrent2,16,mean_time,0.9474325195312501,0.03554364079802452,0.6446986530303955,0.24880935245140992,0.572102585220337,0.23717976556303572,0.5307609325408935,0.231321601648106,0.14908627951443193,0.17672376919491822,0.9458106324672698,0.9569526755314053
25,new_tetronimoes,cornn_model2,16,fft,0.996656982421875,0.0012772867628807777,0.9830072536468506,0.006503347462390492,0.9788005603790284,0.007887795006588151,0.9709465892791748,0.010496421550752684,0.01009522113427515,0.003926384982316629,0.06949910151660435,0.02711872433187899
26,new_tetronimoes,cornn_model2,16,last,0.989975439453125,0.008986452384903424,0.94189330368042,0.05779523082582908,0.9233557224273682,0.07656267680370615,0.9031001411437988,0.09437961059004003,0.03060428828336293,0.020881422383052316,0.20924776189923283,0.1425730266026126
27,new_tetronimoes,cornn_model2,16,linear,0.9973600585937501,0.0008011397951075796,0.9866126708984375,0.004001205552563905,0.9830483253479004,0.00508038821533744,0.97675316696167,0.006741062780855881,0.00786111264619971,0.002427660951136262,0.05421285308301447,0.016862348923752636
28,new_tetronimoes,cornn_model2,16,max_time,0.9811041748046876,0.01570295100710894,0.8820911897659303,0.10526794011956045,0.8457114032745361,0.13995819118533487,0.8135076938629151,0.15457504249280732,0.05019980556815858,0.03468029400054998,0.34557575691938397,0.23889588840146528
29,new_tetronimoes,cornn_model2,16,mean_time,0.9871103759765625,0.010231126457986553,0.9208772823333741,0.06910026071004467,0.8908349885940552,0.09859255128072829,0.8689603065490724,0.11030934264924468,0.035168658812716566,0.02086933607298429,0.2424690564513206,0.14358418437442488
